T_feed_K,P_feed_Pa,xF_benzene,N_stages,feed_stage,reflux_ratio,bottoms_flow_mols,xD_benzene,xB_toluene,QC_kW,QR_kW
372.6,101325.0,0.7488,11,3,1.749,44.9,0.985717,0.541937,4.6051,1.3479
369.9,101325.0,0.4376,19,8,2.659,47.7,0.836011,0.999226,5.9868,4.698
353.2,101325.0,0.606,14,5,2.565,33.6,0.909499,0.993763,7.308,7.4966
351.5,101325.0,0.2846,16,5,2.449,62.0,0.73999,0.994507,4.1636,4.5451
353.9,101325.0,0.6924,11,3,3.134,37.4,0.9953,0.814638,7.8518,7.9782
375.7,101325.0,0.3917,15,7,2.028,43.9,0.682697,0.980164,5.4408,2.1645
360.6,101325.0,0.598,16,5,3.574,34.3,0.909718,0.999065,9.2771,9.359
367.2,101325.0,0.3347,15,9,2.774,33.6,0.503655,0.999186,8.197,8.2719
367.0,101325.0,0.4164,16,5,1.771,47.4,0.787197,0.995071,4.5968,4.6599
353.9,101325.0,0.3588,15,5,1.95,61.5,0.882726,0.969192,3.5239,3.8314
342.9,101325.0,0.6055,17,10,1.755,65.4,0.989181,0.597486,2.896,3.2012
366.4,101325.0,0.5851,15,7,2.002,64.8,0.977159,0.627869,3.2185,1.3334
356.0,101325.0,0.3541,17,5,1.75,63.6,0.894335,0.955085,3.0991,3.3742
375.1,101325.0,0.2643,13,5,2.872,37.0,0.417832,0.997118,8.0403,6.9205
377.9,101325.0,0.6025,14,7,2.751,37.9,0.958126,0.980138,7.1228,3.8384
359.0,101325.0,0.4425,18,10,3.191,36.0,0.691323,0.99985,8.5808,8.7439
374.8,101325.0,0.7709,20,13,3.831,68.9,0.998082,0.331645,4.5558,1.266
381.7,101325.0,0.3219,17,10,2.391,52.3,0.64887,0.976311,5.2041,1.8574
373.4,101325.0,0.4241,16,9,3.308,38.3,0.686725,0.998977,8.5088,5.5475
346.8,101325.0,0.7851,14,5,1.93,39.9,0.99744,0.534739,5.3403,5.5094
372.5,101325.0,0.5356,15,7,2.701,52.6,0.973553,0.859062,5.3472,2.113
375.6,101325.0,0.435,18,10,3.914,62.7,0.981146,0.889907,5.578,2.3135
370.2,101325.0,0.6728,15,9,3.233,47.5,0.996609,0.685093,6.7408,3.517
344.1,101325.0,0.7523,17,7,2.036,37.8,0.997345,0.650922,5.727,5.955
367.6,101325.0,0.3812,15,7,2.625,69.4,0.977909,0.881897,3.378,3.4452
384.0,101325.0,0.7209,18,5,2.913,63.8,0.995084,0.434671,4.298,0.9011
354.7,101325.0,0.5048,17,7,2.531,62.7,0.992271,0.785192,3.9987,4.1958
345.3,101325.0,0.7895,15,6,2.048,67.3,0.99743,0.31153,3.0227,3.2013
368.1,101325.0,0.6871,18,9,2.219,39.2,0.990953,0.784178,5.9437,2.7526
342.8,101325.0,0.2062,11,3,1.699,59.3,0.465018,0.971436,3.6063,4.152
381.2,101325.0,0.207,18,11,1.515,43.0,0.354094,0.987985,4.7468,1.4014
364.2,101325.0,0.7867,15,7,3.527,47.6,0.998708,0.446686,7.192,4.0267
381.4,101325.0,0.2766,20,7,2.149,44.2,0.494535,0.99853,5.7527,2.4042
365.6,101325.0,0.7498,15,7,2.886,46.3,0.997296,0.537252,6.3287,3.15
367.9,101325.0,0.2852,10,3,2.403,42.3,0.473021,0.971,6.4415,6.5311
343.7,101325.0,0.3002,14,7,3.365,59.9,0.739798,0.994086,5.5608,6.0542
348.3,101325.0,0.4355,17,4,3.716,49.3,0.858302,0.999302,7.4512,7.8048
366.3,101325.0,0.7578,13,6,3.467,66.8,0.997574,0.361369,4.4975,1.3023
360.5,101325.0,0.2349,14,9,1.53,69.9,0.66453,0.950105,2.4451,2.6984
341.0,101325.0,0.4978,12,5,3.739,37.2,0.786646,0.989819,9.3868,9.8018
379.3,101325.0,0.6177,19,7,3.845,65.8,0.995233,0.578525,5.0275,1.6847
374.3,101325.0,0.4903,19,8,2.227,44.2,0.868813,0.987541,5.601,2.3553
348.0,101325.0,0.5631,14,6,3.281,45.3,0.994676,0.958115,7.1059,7.4021
383.1,101325.0,0.5169,11,6,3.254,43.6,0.880548,0.953502,7.4471,4.0899
380.6,101325.0,0.7621,19,11,2.985,55.7,0.997176,0.424863,5.354,2.0016
362.5,101325.0,0.6018,16,10,2.432,57.3,0.994869,0.691114,4.4467,4.3229
351.4,101325.0,0.6629,15,7,2.74,30.8,0.956394,0.996448,7.9167,8.1085
381.3,101325.0,0.2525,12,7,3.701,36.2,0.393316,0.995678,9.9043,6.5513
358.2,101325.0,0.4058,18,6,2.993,52.0,0.844599,0.999239,5.9872,6.2031
366.9,101325.0,0.5247,13,4,2.177,67.3,0.978886,0.69598,3.1631,1.9533
348.0,101325.0,0.7136,10,4,3.758,40.2,0.996325,0.706985,8.6309,8.8243
366.2,101325.0,0.7727,11,4,1.665,30.6,0.984085,0.70671,5.625,2.4497
347.0,101325.0,0.2503,16,9,1.576,62.6,0.649464,0.988177,3.0994,3.565
380.2,101325.0,0.21,14,8,1.636,60.0,0.382276,0.904851,3.4847,0.147
367.6,101325.0,0.3532,17,8,3.415,61.3,0.908056,0.997065,5.2763,5.3764
382.9,101325.0,0.6474,12,7,3.51,31.7,0.937967,0.978625,9.4574,6.1089
341.9,101325.0,0.6016,18,10,3.43,60.3,0.997775,0.659231,5.3332,5.6613
342.7,101325.0,0.2238,11,6,3.933,67.7,0.646599,0.977919,5.1279,5.6761
342.9,101325.0,0.3265,12,6,2.549,32.7,0.482,0.993534,7.829,8.2905
374.6,101325.0,0.3143,11,6,3.738,66.5,0.832948,0.946971,4.9681,3.2315
361.4,101325.0,0.5086,20,9,3.142,56.8,0.995893,0.862051,5.4283,5.5326
365.4,101325.0,0.4577,13,6,3.229,37.3,0.726791,0.994632,8.4401,8.4977
351.1,101325.0,0.4498,19,8,3.117,40.7,0.758434,0.999878,7.7343,8.0243
355.5,101325.0,0.4172,16,9,3.174,59.7,0.990055,0.969548,5.1094,5.3702
369.5,101325.0,0.2393,12,5,1.519,68.3,0.625004,0.939716,2.5769,2.6755
347.2,101325.0,0.4299,12,4,2.448,31.3,0.621322,0.990249,7.6478,7.9902
355.4,101325.0,0.5438,13,8,2.59,66.7,0.993464,0.680694,3.6286,3.7837
379.0,101325.0,0.3165,19,10,2.16,67.6,0.629295,0.83342,3.3023,0.0296
345.5,101325.0,0.5219,12,5,3.424,43.4,0.907537,0.981015,7.7333,8.0821
352.7,101325.0,0.538,15,6,2.162,57.3,0.990545,0.799238,4.1007,4.3148
343.9,101325.0,0.2606,12,7,1.716,30.7,0.373245,0.993677,6.2244,6.7069
358.3,101325.0,0.7473,20,6,1.738,62.6,0.995119,0.400758,3.107,3.1169
369.9,101325.0,0.7629,13,6,2.206,37.7,0.994944,0.620556,6.0605,2.8397
343.2,101325.0,0.5275,18,6,3.439,33.5,0.793158,0.999848,9.3009,9.6671
380.3,101325.0,0.2869,12,3,1.624,42.7,0.47331,0.963247,4.9323,1.5905
369.2,101325.0,0.6083,14,6,3.236,30.0,0.8671,0.995563,9.2261,6.0308
360.4,101325.0,0.506,12,6,3.495,43.4,0.881111,0.983194,7.8961,8.0242
372.3,101325.0,0.4582,11,5,3.226,63.9,0.964271,0.827709,4.6591,1.7851
372.3,101325.0,0.6038,15,4,2.664,43.0,0.988043,0.905563,6.3465,3.1214
348.5,101325.0,0.7649,17,10,3.692,41.9,0.999262,0.560074,8.264,8.4184
373.1,101325.0,0.697,12,4,3.187,37.5,0.996027,0.8014,7.9385,4.6929
371.4,101325.0,0.5702,10,3,3.309,52.1,0.981725,0.808168,6.2805,3.0528
359.0,101325.0,0.4914,20,10,1.598,59.8,0.966452,0.827964,3.1881,3.3301
371.9,101325.0,0.7426,19,12,2.133,68.4,0.990929,0.372125,3.0066,0.2523
352.0,101325.0,0.4908,18,11,2.855,66.3,0.993665,0.764806,3.9431,4.1849
341.2,101325.0,0.6669,19,5,1.512,67.9,0.989099,0.485421,2.4498,2.7439
340.5,101325.0,0.6293,18,11,2.323,53.7,0.99577,0.686671,4.6676,5.0059
346.2,101325.0,0.6762,14,7,2.361,67.5,0.996251,0.477898,3.3135,3.5315
367.1,101325.0,0.5347,18,7,2.279,52.7,0.984737,0.869221,4.7164,3.2866
373.2,101325.0,0.5954,18,5,3.215,40.0,0.989184,0.995162,7.6833,4.461
363.5,101325.0,0.4309,11,6,3.826,58.5,0.958385,0.943327,6.1239,6.2437
351.7,101325.0,0.7432,13,8,2.964,64.0,0.998366,0.400331,4.3269,4.4348
384.9,101325.0,0.2623,11,7,3.593,52.4,0.529568,0.980485,7.1326,3.7427
361.2,101325.0,0.7509,17,7,2.413,60.5,0.996298,0.409318,4.0895,2.1081
346.9,101325.0,0.2814,17,8,1.735,58.8,0.67615,0.995191,3.6123,4.0627
342.1,101325.0,0.4079,19,9,3.119,68.7,0.99211,0.858276,3.9144,4.3627
373.5,101325.0,0.2246,13,5,2.221,66.6,0.625531,0.976467,3.4715,3.5178
355.4,101325.0,0.3612,17,10,3.171,37.3,0.575938,0.999767,8.489,8.7445
341.3,101325.0,0.7171,13,4,3.62,37.3,0.998807,0.756458,8.7823,9.0742
361.6,101325.0,0.5316,18,5,2.289,43.6,0.9415,0.998588,5.6913,5.7975
367.5,101325.0,0.7115,12,8,3.718,40.7,0.997903,0.705794,8.4839,5.2938
378.6,101325.0,0.3289,16,6,3.411,52.4,0.686256,0.995718,6.7217,3.4198
343.8,101325.0,0.2591,12,7,1.891,46.4,0.473481,0.988547,5.0832,5.578
349.1,101325.0,0.6918,11,6,2.332,32.3,0.97716,0.906248,6.8706,7.0742
355.7,101325.0,0.7147,15,4,3.066,49.7,0.998474,0.5725,6.201,6.2717
348.5,101325.0,0.389,15,5,3.629,64.0,0.991786,0.950099,5.0599,5.4398
366.0,101325.0,0.6257,16,6,3.794,47.8,0.99774,0.780589,7.5887,5.2975
378.1,101325.0,0.6718,11,3,1.565,52.5,0.947442,0.577592,3.7336,0.4074
352.9,101325.0,0.7525,19,9,3.669,43.8,0.999182,0.564019,7.9547,8.0509
377.1,101325.0,0.5217,13,5,3.156,51.2,0.977385,0.912658,6.177,2.8968
352.3,101325.0,0.5615,20,7,2.656,51.7,0.99565,0.844145,5.3573,5.573
370.5,101325.0,0.2684,15,4,2.327,68.8,0.799489,0.972443,3.2672,3.3502
368.2,101325.0,0.2011,10,6,3.72,30.8,0.286166,0.990022,10.8567,10.9832
342.1,101325.0,0.208,16,10,2.793,48.5,0.403382,0.999467,6.4458,6.9996
346.7,101325.0,0.3272,10,6,3.871,50.1,0.62622,0.970626,7.8427,8.2583
357.6,101325.0,0.5909,13,7,2.952,47.3,0.995774,0.860224,6.3184,6.4423
347.3,101325.0,0.3215,17,5,1.933,38.2,0.519952,0.999555,5.9194,6.3214
353.2,101325.0,0.6983,13,4,1.736,52.4,0.993665,0.570008,3.9528,4.0663
378.5,101325.0,0.4616,15,7,3.615,65.2,0.977234,0.813622,4.8916,1.5781
356.3,101325.0,0.4183,13,8,2.622,34.7,0.637853,0.994865,7.6203,7.8327
359.5,101325.0,0.3762,13,6,1.866,57.8,0.835979,0.959482,3.7837,3.9874
342.6,101325.0,0.5145,14,6,3.457,40.6,0.863482,0.996075,8.2428,8.6354
356.4,101325.0,0.7241,16,4,3.548,53.1,0.998871,0.518588,6.4667,6.5199
380.5,101325.0,0.7568,13,4,3.125,42.7,0.997874,0.566701,7.1674,3.8232
382.7,101325.0,0.6646,14,4,3.196,53.1,0.995607,0.627758,5.9704,2.5962
369.5,101325.0,0.7129,18,9,3.974,35.1,0.99877,0.815676,9.787,6.584
380.2,101325.0,0.2739,19,7,3.009,61.3,0.653817,0.96595,4.9885,1.6653
371.5,101325.0,0.4147,15,6,2.825,31.2,0.602236,0.998839,8.5161,6.7651
372.3,101325.0,0.4025,20,9,2.221,61.4,0.879427,0.897329,3.8599,1.902
363.4,101325.0,0.3284,12,4,3.224,65.7,0.885362,0.96236,4.4931,4.6646
365.1,101325.0,0.5323,13,5,2.379,63.8,0.989499,0.727112,3.7159,3.276
342.7,101325.0,0.6455,10,3,3.462,43.3,0.99123,0.807263,7.6828,7.9939
356.2,101325.0,0.737,11,4,1.947,54.1,0.995637,0.482435,4.1038,4.1528
349.0,101325.0,0.4945,13,8,1.873,65.6,0.978723,0.759419,3.0092,3.2932
378.0,101325.0,0.3874,10,3,3.512,45.5,0.676722,0.95915,7.8825,4.5751
380.0,101325.0,0.2562,17,4,2.878,52.3,0.532663,0.995945,6.0329,2.7093
381.8,101325.0,0.4722,19,8,3.635,45.9,0.872294,0.999361,7.7948,4.4617
347.2,101325.0,0.6976,14,8,3.372,59.1,0.998491,0.510631,5.4216,5.6189
369.5,101325.0,0.4386,11,3,2.568,56.6,0.903489,0.917864,4.7861,3.6662
355.9,101325.0,0.7196,13,8,3.554,69.4,0.998562,0.4034,4.2251,4.2802
374.0,101325.0,0.7493,18,9,3.819,66.4,0.997911,0.376503,4.9099,1.6286
348.0,101325.0,0.7185,15,5,2.328,51.7,0.997327,0.54199,4.8749,5.0543
356.6,101325.0,0.2053,11,7,3.132,32.7,0.302133,0.993992,9.2359,9.5517
356.6,101325.0,0.5823,11,4,2.554,63.4,0.993487,0.655072,3.9482,4.0659
383.9,101325.0,0.5886,15,4,2.747,39.2,0.958697,0.985365,6.9655,3.6109
356.9,101325.0,0.5729,17,10,1.713,35.0,0.880435,0.998229,5.4737,5.621
354.1,101325.0,0.7802,17,5,3.705,58.4,0.99918,0.375786,5.9335,5.9923
342.4,101325.0,0.7603,11,6,3.081,34.6,0.997768,0.68857,8.0935,8.3445
363.3,101325.0,0.4215,17,9,2.644,51.7,0.870451,0.997917,5.4731,5.6024
354.5,101325.0,0.5679,16,9,3.634,65.9,0.997399,0.654344,4.7922,4.9479
347.1,101325.0,0.5223,15,8,3.999,40.3,0.87378,0.998372,9.2747,9.5975
352.7,101325.0,0.7733,15,7,1.812,47.7,0.996649,0.471588,4.4608,4.5467
355.0,101325.0,0.2088,18,6,2.904,51.6,0.431185,0.999793,6.2213,6.5719
368.6,101325.0,0.7405,20,7,2.665,39.0,0.996774,0.660341,6.781,3.5762
340.5,101325.0,0.5196,12,7,3.257,68.8,0.995367,0.696154,4.0297,4.4207
383.4,101325.0,0.6337,13,8,3.497,46.4,0.99596,0.784774,7.3123,3.9431
346.4,101325.0,0.6594,14,9,2.946,69.5,0.997337,0.488903,3.65,3.8726
347.7,101325.0,0.3239,19,8,2.925,69.8,0.979096,0.95957,3.6089,4.0374
381.4,101325.0,0.6721,14,8,2.069,35.6,0.981517,0.887617,6.0143,2.6793
381.1,101325.0,0.7203,15,7,2.285,54.8,0.99148,0.503373,4.5088,1.1496
360.9,101325.0,0.6663,14,5,2.845,69.1,0.996958,0.481563,3.6035,3.3548
363.8,101325.0,0.5758,11,6,3.067,54.4,0.993493,0.774334,5.629,5.198
368.9,101325.0,0.7044,20,13,2.841,30.5,0.996995,0.962371,8.0965,4.9147
377.5,101325.0,0.4508,13,6,1.559,38.0,0.696679,0.950369,5.0719,1.765
351.8,101325.0,0.4918,19,11,2.228,69.6,0.987396,0.724666,2.9824,3.2206
379.5,101325.0,0.6681,18,11,2.592,48.0,0.992539,0.683373,5.6705,2.3388
378.1,101325.0,0.3443,20,10,2.042,33.1,0.514552,0.999804,6.6496,3.3327
346.0,101325.0,0.4537,13,6,1.514,33.4,0.675906,0.989379,5.3677,5.7204
346.5,101325.0,0.3804,10,4,1.568,60.0,0.769955,0.879303,3.2484,3.634
357.3,101325.0,0.7568,12,5,2.29,35.6,0.997227,0.678137,6.4258,6.4631
341.1,101325.0,0.7415,12,4,3.661,39.3,0.998855,0.655995,8.5775,8.8532
363.0,101325.0,0.6245,12,8,3.898,55.7,0.997845,0.672433,6.5798,5.788
380.6,101325.0,0.4157,18,5,1.56,48.1,0.683537,0.873298,4.255,0.9039
349.3,101325.0,0.7758,17,10,3.969,55.4,0.999288,0.40412,6.7182,6.849
361.6,101325.0,0.5642,16,5,3.572,45.4,0.997437,0.95689,7.5705,7.6606
363.4,101325.0,0.7942,20,10,1.718,54.8,0.990284,0.367533,3.7315,0.572
363.5,101325.0,0.3945,14,5,1.551,34.3,0.598068,0.995423,5.4264,5.5348
344.9,101325.0,0.6785,11,5,3.81,58.2,0.998333,0.551208,6.0962,6.3376
